Country,Capital City,Latitude,Longitude,Population,Capital Type
Ireland,Дублин,53.3331,-6.2489,1201426,Capital
Isle of Man,Дуглас,54.1500,-4.4833,27171,Capital
Israel,Иерусалим,31.7690,35.2163,907062,Capital
Italy,Рим,41.8947,12.4811,4209710,Capital
Jamaica,Кингстон,17.9970,-76.7936,589083,Capital
Japan,Токио,35.6895,139.6917,37468302,Capital
Jordan,Аман,31.9552,35.9450,2064582,Capital
Kenya,Науроби,-1.2833,36.8167,4385853,Capital
Kiribati,Терава,1.3272,172.9813,64011,Capital
Kuwait,Эль-Кувейт,29.3697,47.9783,2989270,Capital
Lao People's Democratic Republic,Вьентьян,17.9667,102.6000,664754,Capital
Latvia,Рига,56.9460,24.1059,637089,Capital
Lebanon,Бейрут,33.9000,35.4833,2385271,Capital
Lesotho,Масеру,-29.3167,27.4833,201851,Capital
Liberia,монровия,6.3005,-10.7969,1418300,Capital
Libya,Триполи,32.8752,13.1875,1157746,Capital
Liechtenstein,Вадуц,47.1415,9.5215,5470,Capital
Lithuania,Вильнюс,54.6892,25.2798,536055,Capital
Luxembourg,Люксембург,49.6117,6.1300,119752,Capital
Madagascar,Антонанариву,-18.9137,47.5361,3058387,Capital
Malawi,Лилонегве,-13.9669,33.7873,1029639,Capital
Malaysia,Каула Лумпур,3.1412,101.6865,7563912,Capital
Maldives,Мале,4.1748,73.5089,176851,Capital
Mali,Бамако,12.6500,-8.0000,2446749,Capital
Malta,Валлета,35.8997,14.5147,212768,Capital
Marshall Islands,Маджуро,7.0897,171.3803,30661,Capital
Martinique,Форт-дэ-Франс,14.6089,-61.0733,79361,Capital
Mauritania,Нуакшот,18.0858,-15.9785,1205414,Capital
Mauritius,Порт Луис,-20.1619,57.4989,149365,Capital
Mayotte,Мамудзу,-12.7794,45.2272,6180,Capital
Mexico,Мехико,19.4273,-99.1419,21580827,Capital
Micronesia (Fed. States of),Паликир,6.9174,158.1588,6996,Capital
Monaco,Монако,43.7333,7.4167,38897,Capital
Mongolia,Улан-Батор,47.9077,106.8832,1520381,Capital
Montenegro,Подгорица,42.4411,19.2636,177177,Capital
Montserrat,Брэйдз,16.7918,-62.2106,472,Capital
Morocco,Рабат,34.0133,-6.8326,1846661,Capital
Mozambique,Мапуту,-25.9653,32.5892,1101771,Capital
Myanmar,Нейпьидо,19.7450,96.1297,500218,Capital
Namibia,Виндхук,-22.5594,17.0832,404280,Capital
Nauru,Науру,-0.5308,166.9112,11312,Capital
Nepal,Катманду,27.7017,85.3206,1329732,Capital
Netherlands,Амстердам,52.3740,4.8897,1131690,Capital
New Caledonia,Нумеа,-22.2763,166.4572,197787,Capital
New Zealand,Веллингтон,-41.2866,174.7756,411346,Capital
Nicaragua,Манагуа,12.1328,-86.2504,1047923,Capital
Niger,Ниамей,13.5137,2.1098,1213781,Capital
Nigeria,Абаджа,9.0574,7.4898,2918518,Capital
Niue,Алофи,-19.0585,-169.9213,727,Capital
Northern Mariana Islands,Сайпан,15.2123,145.7545,50568,Capital
Norway,Осло,59.9127,10.7461,1012225,Capital
Oman,Маскат,23.6139,58.5922,1446563,Capital
Pakistan,Исламадад,33.7035,73.0594,1061412,Capital
Palau,Корор,7.3426,134.4789,11410,Capital
Panama,Панама,8.9958,-79.5196,1783490,Capital
Papua New Guinea,япорт-Морсби,-9.4431,147.1797,366862,Capital
Paraguay,Ла-Асусьен,-25.3007,-57.6359,3222199,Capital
Peru,Лима,-12.0432,-77.0282,10390607,Capital
Philippines,Манила,14.6042,120.9822,13482468,Capital
Poland,Варшава,52.2298,21.0118,1767798,Capital
Portugal,Лисабон,38.7169,-9.1399,2927316,Capital
Puerto Rico,Сан-Хуан,18.4663,-66.1057,2454337,Capital
Qatar,Доха,25.2747,51.5245,633401,Capital
Republic of Korea,Сеул,37.5683,126.9778,9963497,Capital
Republic of Moldova,Кишинев,47.0056,28.8575,509707,Capital
Réunion,Сен-Дени,-20.8823,55.4504,147209,Capital
Romania,Бухарест,44.4328,26.1043,1821380,Capital
Russian Federation,МОСКВА,55.7550,37.6218,12409738,Capital
Rwanda,Кигали,-1.9474,30.0579,1057836,Capital
Saint Helena,Джеймстаун,-15.9387,-5.7168,603,Capital
Saint Kitts and Nevis,Бастер,17.2948,-62.7261,14434,Capital
Saint Lucia,Кастри,14.0060,-60.9910,22258,Capital
Saint Pierre and Miquelon,Сан-Пьер,46.7738,-56.1815,5723,Capital
Saint Vincent and the Grenadines,Кингстаун,13.1587,-61.2248,26636,Capital
Samoa,Апиа,-13.8333,-171.7667,36066,Capital
San Marino,Сан-Марино,43.9333,12.4500,4465,Capital
Sao Tome and Principe,Сан-Томе,0.3365,6.7273,80099,Capital
Saudi Arabia,Эр-Рияд,24.6905,46.7096,6906595,Capital
Senegal,Дакар,14.6937,-17.4441,2978419,Capital
Serbia,Белград,44.8176,20.4633,1389351,Capital
Seychelles,Виктория,-4.6167,55.4500,28091,Capital
Sierra Leone,Фритаун,8.4840,-13.2299,1135949,Capital
Singapore,Сингапур,1.2897,103.8501,5791901,Capital
Sint Maarten (Dutch part),Филипсбург,18.0260,-63.0458,40552,Capital
Slovakia,Братислава,48.1482,17.1067,429920,Capital
Slovenia,Любляна,46.0511,14.5051,286491,Capital
Solomon Islands,Хониара,-9.4333,159.9500,81801,Capital
Somalia,Могадишо,2.0416,45.3435,2081624,Capital
South Africa,Кейптаун,-33.9258,18.4232,4430367,Legislative Capital
South Sudan,Джуба,4.8517,31.5825,368914,Capital
Spain,Мадрид,40.4165,-3.7026,6497124,Capital
Sri Lanka,Коломбо,6.9319,79.8478,599821,Capital
State of Palestine,Иерусалимм,31.7834,35.2339,275086,Capital
Sudan,Хартум,15.5518,32.5324,5534079,Capital
Suriname,Парамарибо,5.8664,-55.1668,239457,Capital
